title,release_date,vote_average,runtime,genre_names,,,title,release_date,vote_average,runtime,genre_names
Orphan: First Kill,2022-07-27,6.9,99,"Horror, Thriller",,Mean,96623987.5871739,2007-02-18,3.3,62.14,#DIV/0!
Beast,2022-08-11,7.1,93,"Adventure, Drama, Horror",,Standard Error,96618232.4787919,1900-01-30,0.0,0.23,#DIV/0!
Smile,2022-09-23,6.8,115,"Horror, Mystery, Thriller",,Mode,8,1989-01-01,0.0,0.00,#VALUE!
The Black Phone,2022-06-22,7.9,103,"Horror, Thriller",,Median,503.5,2012-12-09,4.0,80.00,#VALUE!
Presences,2022-09-07,7.0,0,Horror,,First Quartile,32.5,2000-10-20,0.0,14.00,#VALUE!
Sonríe,2022-08-18,1.0,0,"Horror, Thriller",,Third Quartile,1921.75,2018-10-03,5.7,91.00,#VALUE!
Jeepers Creepers: Reborn,2022-09-15,5.8,88,"Horror, Mystery, Thriller",,Variance,4.29413810976990E+17,#FMT,8.3,1680.88,#DIV/0!
Nope,2022-07-20,7.0,130,"Horror, Mystery, Science Fiction, Thriller",,Standard Deviation,655296735.057478,1915-07-16,2.9,41.00,#DIV/0!
Hunting Ava Bravo,2022-04-01,6.5,90,"Action, Adventure, Crime, Drama, Horror, Mystery, Thriller, War",,Kurtosis,45.9999997679684,1899-12-30,-1.2,3.16,#DIV/0!
X,2022-03-17,6.8,106,"Horror, Mystery, Thriller",,Skewness,6.78232995801362,1899-12-28,0.1,0.04,#DIV/0!
The Exorcism of God,2022-03-11,7.3,98,Horror,,Range,4444444442,1972-12-29,10.0,683.00,0
The Jack in the Box: Awakening,2022-02-24,6.4,89,Horror,,Minimum,2,1950-01-01,0.0,0.00,0
Torn Hearts,2022-05-20,6.1,97,"Horror, Music, Thriller",,Maximum,4444444444,2022-12-31,10.0,683.00,0
The Cellar,2022-03-25,6.6,94,"Horror, Mystery",,Sum,4444703429.01,#FMT,108544.6,2022130.00,0
My Best Friend's Exorcism,2022-09-29,6.1,96,"Comedy, Horror",,Count,46,1989-02-01,32540.0,32540.00,0
Day Shift,2022-08-10,6.9,113,"Action, Comedy, Fantasy, Horror",,,,,,,
Beneath the Surface,2022-04-01,6.9,93,"Fantasy, Horror, Mystery, Thriller",,,,,,,
Shut In,2022-03-24,7.2,90,"Horror, Thriller",,,,,,,
The Grandmother,2022-01-28,5.9,100,"Drama, Horror",,,,,,,
Dahmer,2002-06-21,5.2,101,"Drama, Horror",,,,,,,
Titanic 666,2022-04-15,6.0,91,"Horror, Thriller",,,,,,,
Visitor,2021-02-11,6.1,99,Horror,,,,,,,
Halloween Kills,2021-10-14,6.7,105,"Horror, Thriller",,,,,,,
Incantation,2022-03-18,6.9,111,Horror,,,,,,,
Veneciafrenia,2022-04-22,6.1,100,Horror,,,,,,,
Texas Chainsaw Massacre,2022-02-18,5.3,83,"Horror, Thriller",,,,,,,
Scream,2022-01-12,6.7,114,"Horror, Mystery, Thriller",,,,,,,
Valley of the Dead,2020-10-08,6.3,101,"Comedy, Horror, War",,,,,,,
Halloween Ends,2022-10-12,10.0,111,"Horror, Mystery, Thriller",,,,,,,
Smile,2009-08-28,3.9,119,"Horror, Thriller",,,,,,,
Orphan,2009-07-24,7.0,123,"Horror, Mystery, Thriller",,,,,,,
See for Me,2022-01-07,6.1,92,"Crime, Drama, Horror, Mystery, Thriller",,,,,,,
Bring It On: Cheer or Die,2022-09-27,6.2,0,"Comedy, Horror, Thriller, TV Movie",,,,,,,
No Exit,2022-02-25,7.0,96,"Horror, Mystery, Thriller",,,,,,,
They/Them,2022-07-24,5.3,101,"Horror, Thriller",,,,,,,
The Requin,2022-01-28,4.7,89,"Horror, Thriller",,,,,,,
Jeepers Creepers 3,2017-09-26,4.9,100,"Horror, Mystery, Thriller",,,,,,,
The Conjuring: The Devil Made Me Do It,2021-05-25,7.6,111,"Horror, Mystery, Thriller",,,,,,,
Resident Evil: Welcome to Raccoon City,2021-11-24,6.1,107,"Action, Horror, Science Fiction",,,,,,,
Shark Bait,2022-05-13,6.0,87,"Action, Adventure, Horror, Thriller",,,,,,,
The Addams Family 2,2021-10-01,7.1,93,"Adventure, Animation, Comedy, Family, Fantasy, Horror",,,,,,,
It Chapter Two,2019-09-04,6.9,170,"Fantasy, Horror",,,,,,,
She Will,2022-07-15,5.6,95,"Drama, Horror, Thriller",,,,,,,
Studio 666,2022-02-24,6.3,106,"Comedy, Horror, Music",,,,,,,
The Last Zombie,2021-12-02,5.7,85,Horror,,,,,,,
The Passenger,2022-06-03,6.4,90,Horror,,,,,,,
