release_date,poster_path,popularity,vote_count,vote_average,budget,revenue,runtime,status,adult,backdrop_path,genre_names,collection,collection_name
2022-07-27,/pHkKbIRoCe7zIFvqan9LFSaQAde.jpg,5088.584,902,6.9,0,9572765,99,Released,FALSE,/5GA3vV1aWWHTSDO5eno8V5zDo8r.jpg,"Horror, Thriller",760193,Orphan Collection
2022-08-11,/xIGr7UHsKf0URWmyyd5qFMAq4d8.jpg,2172.338,584,7.1,0,56000000,93,Released,FALSE,/2k9tBql5GYH328Krj66tDT9LtFZ.jpg,"Adventure, Drama, Horror",NA,NA
2022-09-23,/hiaeZKzwsk4y4atFhmncO5KRxeT.jpg,1863.628,114,6.8,17000000,45000000,115,Released,FALSE,/mVNPfpydornVe4H4UCIk7WevWjf.jpg,"Horror, Mystery, Thriller",NA,NA
2022-06-22,/lr11mCT85T1JanlgjMuhs9nMht4.jpg,1071.398,2736,7.9,18800000,161000000,103,Released,FALSE,/AfvIjhDu9p64jKcmohS4hsPG95Q.jpg,"Horror, Thriller",NA,NA
2022-09-07,/dgDT3uol3mdvwEg0jt1ble3l9hw.jpg,1020.995,83,7,0,0,0,Released,FALSE,/ojfzhdwRemcDt1I6pao6vVLw9AA.jpg,Horror,NA,NA
2022-08-18,/wHowKf77gNZbVo9yu5ggiNBFCdJ.jpg,939.712,1,1,0,0,0,Released,FALSE,NA,"Horror, Thriller",NA,NA
2022-09-15,/aGBuiirBIQ7o64FmJxO53eYDuro.jpg,821.605,125,5.8,20000000,2892594,88,Released,FALSE,/tIX6j3NzadlwGcJ52nuWdmtOQkg.jpg,"Horror, Mystery, Thriller",94899,Jeepers Creepers Collection
2022-07-20,/AcKVlWaNVVVFQwro3nLXqPljcYA.jpg,733.112,1684,7,68000000,170800000,130,Released,FALSE,/xVbppM1xgbskOKgOuV8fbWBWHtt.jpg,"Horror, Mystery, Science Fiction, Thriller",NA,NA
2022-04-01,/etc6HKBEhNySNnYU2nRgbSeIyoW.jpg,574.832,73,6.5,0,0,90,Released,FALSE,/pkLegAR3G5T63B2Xz2ijbD1BAm8.jpg,"Action, Adventure, Crime, Drama, Horror, Mystery, Thriller, War",NA,NA
2022-03-17,/woTQx9Q4b8aO13jR9dsj8C9JESy.jpg,543.67,1035,6.8,10000000,14257609,106,Released,FALSE,/21ldFAokKVjwzi1SHXoPb5gc7md.jpg,"Horror, Mystery, Thriller",950289,X Collection
2022-03-11,/hangTmbxpSV4gpHG7MgSlCWSSFa.jpg,537.252,637,7.3,1500000,0,98,Released,FALSE,/b1L7qevxiVpkVFq4dmdQPGFPWH0.jpg,Horror,NA,NA
2022-02-24,/3Ib8vlWTrAKRrTWUrTrZPOMW4jp.jpg,527.579,157,6.4,0,0,89,Released,FALSE,/xHRabofjmMGoIV3mb6xgy4nwOcS.jpg,Horror,916357,Jack in the Box Collection
2022-05-20,/w8dSAuMHUgx0lYSB6wAAURStcGM.jpg,525.876,39,6.1,0,0,97,Released,FALSE,/t6Fs0EOFIxzEGHZLHxJ3v7K4JRB.jpg,"Horror, Music, Thriller",NA,NA
2022-03-25,/rtfGeS5WMXA6PtikIYUmYTSbVdg.jpg,513.757,257,6.6,0,0,94,Released,FALSE,/qViFGWCHaSmW4gP00RGh3xjMjsP.jpg,"Horror, Mystery",NA,NA
2022-09-29,/yIXICkqthsqbNtvtEd6rpIt3cT4.jpg,501.921,43,6.1,0,0,96,Released,FALSE,/gX6VtQ7X6GRvcJQJhFZO9ZJ00q7.jpg,"Comedy, Horror",NA,NA
2022-08-10,/bI7lGR5HuYlENlp11brKUAaPHuO.jpg,449.683,1129,6.9,0,0,113,Released,FALSE,/5L6RPHHUFlsliTqKRmUxFnIkXpR.jpg,"Action, Comedy, Fantasy, Horror",NA,NA
2022-04-01,/xXE9IDEFiye0zNzmnT0eUDbGyVI.jpg,412.34,50,6.9,0,0,93,Released,FALSE,/cetU6lsj5bFCCFTWezGISmYwDAG.jpg,"Fantasy, Horror, Mystery, Thriller",NA,NA
2022-03-24,/b5ug4LyLQFeR6azAJyIPBQz5ur9.jpg,399.436,224,7.2,0,304106,90,Released,FALSE,/ufagam4FwlIcgPqJlr21EshNkNd.jpg,"Horror, Thriller",NA,NA
2022-01-28,/ri3KIjGp3Ek6iKUsTzMigmxTvdw.jpg,381.305,272,5.9,0,0,100,Released,FALSE,/cmRgcH2sOl5dZrOB1tAbZZn5e9b.jpg,"Drama, Horror",NA,NA
2002-06-21,/gZPrXBXYf2s4VztHdQpd0441jF6.jpg,378.39,220,5.2,250000,144008,101,Released,FALSE,/22KKqRN37JMGcY4hqPHXLnvCMFm.jpg,"Drama, Horror",NA,NA
2022-04-15,/EX0ITg5YqDgFHjujpTNhEPaJSL.jpg,372.136,98,6,0,0,91,Released,FALSE,/5DCIRgOrCTayoCGggVn1kyqs1Vh.jpg,"Horror, Thriller",NA,NA
2021-02-11,/bDJFx39hKbvMlEXZMcVAc00YeaB.jpg,358.179,7,6.1,0,0,99,Released,FALSE,/5wDyK62lGdgRh7rofKynqCbTuTA.jpg,Horror,NA,NA
2021-10-14,/qmJGd5IfURq8iPQ9KF3les47vFS.jpg,315.027,1941,6.7,20000000,131647155,105,Released,FALSE,/5P0PtxIneLNMq7m0crF1R9Sjzpv.jpg,"Horror, Thriller",91361,Halloween Collection
2022-03-18,/6zltP23zLGPogsHZUazSrrwNuKs.jpg,313.282,339,6.9,0,5700000,111,Released,FALSE,/vqEX1uF3Spl12rOACQ3gJ6j4MSR.jpg,Horror,NA,NA
2022-04-22,/luMC56bwZqaECYRz6X7sXjqN6nd.jpg,302.239,133,6.1,0,0,100,Released,FALSE,/egS5SHI4Ppwmb65lUjqsy79ASnN.jpg,Horror,NA,NA
2022-02-18,/e8vYPpkUJpf5Ils99kxF0Ev73ay.jpg,293.443,958,5.3,20000000,0,83,Released,FALSE,/aTSA5zMWlVFTYBIZxTCMbLkfOtb.jpg,"Horror, Thriller",111751,Texas Chainsaw Massacre Collection
2022-01-12,/1m3W6cpgwuIyjtg5nSnPx7yFkXW.jpg,291.196,1732,6.7,24000000,140000000,114,Released,FALSE,/ifUfE79O1raUwbaQRIB7XnFz5ZC.jpg,"Horror, Mystery, Thriller",2602,Scream Collection
2020-10-08,/avokvOwhjVR9GgISsSSgb2A343G.jpg,276.369,201,6.3,0,0,101,Released,FALSE,/h6XfgbzQEV4sitsIVY63pawLI0s.jpg,"Comedy, Horror, War",NA,NA
2022-10-12,/3aEJDJ9O8lsRMM9Xaxxm5kNyt0N.jpg,270.269,2,10,20000000,0,111,Released,FALSE,/1UlTowc5vfrgXUVT6OnlU0TOiij.jpg,"Horror, Mystery, Thriller",91361,Halloween Collection
2009-08-28,/5Hk4ubepZZNwlNEbyYt2ejzCvr5.jpg,266.502,16,3.9,0,0,119,Released,FALSE,/9t60OgpIzoyLiL4nmQXb0ZNmbQA.jpg,"Horror, Thriller",NA,NA
2009-07-24,/lCGpOgoTOGLtZnBiGY9HRg5Xnjd.jpg,265.858,4403,7,20000000,77912251,123,Released,FALSE,/blJVWug8FJggb9gs6NuooyOWBTP.jpg,"Horror, Mystery, Thriller",760193,Orphan Collection
2022-01-07,/qk1ZERG6yhwAJqTobmDgw8jRL2C.jpg,254.809,110,6.1,0,0,92,Released,FALSE,/tzNx4y7kYf1Xw3F3T6QxrE7PPwb.jpg,"Crime, Drama, Horror, Mystery, Thriller",NA,NA
2022-09-27,/wiWPu2Csgu7mf2XnU6WLcND487q.jpg,253.614,34,6.2,0,0,0,Released,FALSE,/mYOooABOzWRaFMRWDhUAXiKuTaO.jpg,"Comedy, Horror, Thriller, TV Movie",430186,Bring It On Collection
